seq,user_id,score_oracle,label,label_valid
0,0,2.6328804268858423e-115,0,1
1,0,7.209221436782756e-81,0,1
2,0,9.734733044548824e-57,0,1
3,0,8.020733802375535e-40,0,1
4,0,5.23228328847538e-28,0,1
5,0,1.0308738162168867e-19,0,1
6,0,6.56330354054262e-14,0,1
7,0,1.0069466571915867e-09,0,1
8,0,8.10769639247539e-07,0,1
9,0,6.936126494323744e-05,0,1
10,0,0.001851265391719763,0,1
11,0,0.015326593199353313,0,1
12,0,0.05785059764253509,0,1
13,0,0.14490165337573635,0,1
14,0,0.2786301130309863,0,1
15,0,0.3935981932432732,0,1
16,0,0.4538221023845648,0,1
17,0,0.5105957352791145,0,1
18,0,0.5781793154543857,0,1
19,0,0.6236493767665754,0,1
20,0,0.6540016773511232,0,1
21,0,0.6742837124953045,0,1
22,0,0.6878644137822097,0,1
23,0,0.6849665744921144,0,1
24,0,0.7059653280300491,0,1
25,0,0.7648286573367131,0,1
26,0,0.7285530273089985,0,1
27,0,0.7131381313691728,0,1
28,0,0.6772601352155172,0,1
29,0,0.6506017517235934,0,1
30,0,0.6441191995729731,0,1
31,0,0.6654037795395605,0,1
32,0,0.6797390715145751,0,1
33,0,0.6772588521344467,0,1
34,0,0.6496625901025563,0,1
35,0,0.6295397600192094,0,1
36,0,0.6282045513828602,0,1
37,0,0.6407358369277175,0,1
38,0,0.648636923266865,0,1
39,0,0.6800583737432142,0,1
40,0,0.6879739872487148,0,1
41,0,0.7294708554098431,0,1
42,0,0.6992242885848955,0,1
43,0,0.6895267107839641,0,1
44,0,0.6696346217124062,0,1
45,0,0.66834966800273,0,1
46,0,0.6413359407586545,0,1
47,0,0.621728246645765,0,1
48,0,0.6209224355661224,0,1
49,0,0.6339669142556684,0,1
50,0,0.6160654521359054,0,1
51,0,0.616568125013404,0,1
52,0,0.6305856239332602,0,1
53,0,0.6132769260960999,0,1
54,0,0.6142470612368386,0,1
55,0,0.6416349784077612,0,1
56,0,0.6601715954115273,0,1
57,0,0.6602805809204654,0,1
58,0,0.6469453906624894,0,1
59,0,0.6634797029430313,0,1
60,0,0.6622807981773159,0,1
61,0,0.6351454023097461,0,1
62,0,0.6155069441122516,0,1
63,0,0.6147996914465367,0,1
64,0,0.6280289942641106,0,1
65,0,0.6364710725749556,0,1
66,0,0.6687648681822168,0,1
67,0,0.6392564398658931,0,1
68,0,0.6178421321438313,0,1
69,0,0.6290294983348883,0,1
70,0,0.6634139279559564,0,1
71,0,0.6349884503616354,0,1
72,0,0.6276199557340498,0,1
73,0,0.6489392150187245,0,1
74,0,0.6507890681647711,0,1
75,0,0.6385457020065645,0,1
76,0,0.64337330399341,0,1
77,0,0.6199759305545481,0,1
78,0,0.6165218859109997,0,1
79,0,0.6278430485919241,0,1
80,0,0.6218877655531954,0,1
81,0,0.644360576572601,0,1
82,0,0.6469353691288008,0,1
83,0,0.6351477408529861,0,1
84,0,0.6531858576592164,0,1
85,0,0.6654848450927354,0,1
86,0,0.6614348892984449,0,1
87,0,0.6451768847960904,0,1
88,0,0.6470494570593786,0,1
89,0,0.6603878123722525,0,1
90,0,0.7072891472563588,0,1
91,0,0.6781806908603731,0,1
92,0,0.6699807799192629,0,1
93,0,0.6635240068979795,0,1
94,0,0.7085198529050211,0,1
95,0,0.7154579688342783,0,1
96,0,0.671640868786805,0,1
97,0,0.6768307527197338,0,1
98,0,0.7174387096593944,0,1
99,0,0.6851856034207577,0,1
100,0,0.6744379536963421,0,1
101,0,0.6407384359916302,0,1
102,0,0.6293901349950961,0,1
103,0,0.6350193023551702,0,1
104,0,0.6119640112790447,0,1
105,0,0.595448907516331,0,1
106,0,0.5972647915889004,0,1
107,0,0.6257438279592106,0,1
108,0,0.6578705675729528,0,1
109,0,0.6800614371401353,0,1
110,0,0.6443154621051768,0,1
111,0,0.6182079009323741,0,1
112,0,0.6128471124939298,0,1
113,0,0.6229176338468498,0,1
114,0,0.6026813878774671,0,1
115,0,0.5882388951664324,0,1
116,0,0.591606439656331,0,1
117,0,0.6212872406605975,0,1
118,0,0.6284830551467341,0,1
119,0,0.6196813661285531,0,1
120,0,0.6272551211330128,0,1
121,0,0.6053717551830642,0,1
122,0,0.603246500674758,0,1
123,0,0.6156963799475321,0,1
124,0,0.5969563389640244,0,1
125,0,0.5836081655554568,0,1
126,0,0.5877999059321752,0,1
127,0,0.6181373181771429,0,1
128,0,0.6257492728216456,0,1
129,0,0.6172036743113206,0,1
130,0,0.6380594008523872,0,1
131,0,0.6394710085906967,0,1
132,0,0.6267657044936077,0,1
133,0,0.6314921754271996,0,1
134,0,0.6077063933806273,0,1
135,0,0.6041885435835876,0,1
136,0,0.6156650934243019,0,1
137,0,0.5962440406520775,0,1
138,0,0.5960000496838009,0,1
139,0,0.6098483062367908,0,1
140,0,0.6187713925051164,0,1
141,0,0.664668257335119,0,1
142,0,0.6701666697143077,0,1
143,0,0.6614887812465109,0,1
144,0,0.6547098653110508,0,1
145,0,0.6761314034108812,0,1
146,0,0.6523869953650001,0,1
147,0,0.6487538642222542,0,1
148,0,0.6194645979594887,0,1
149,0,0.6117845446187932,0,1
150,0,0.620264941786163,0,1
151,0,0.6254984363714501,0,1
152,0,0.6560837408310404,0,1
153,0,0.6245587612644019,0,1
154,0,0.6017812205907254,0,1
155,0,0.6124804963364424,0,1
156,0,0.6598528983160419,0,1
157,0,0.6535834003250065,0,1
158,0,0.6356216753923419,0,1
159,0,0.6364762282470783,0,1
160,0,0.6233376026311855,0,1
161,0,0.6662543637177981,0,1
162,0,0.7076074064095296,0,1
163,0,0.6623185033005835,0,1
164,0,0.6286342851652016,0,1
165,0,0.6307349116286174,0,1
166,0,0.6590433593723029,0,1
167,0,0.6391672103239089,0,1
168,0,0.6514428365230461,0,1
169,0,0.659880254310772,0,1
170,0,0.6530810950327702,0,1
171,0,0.6476463911363685,0,1
172,0,0.6702558096599411,0,1
173,0,0.6470150789251435,0,1
174,0,0.6566284574001741,0,1
175,0,0.6505939758956463,0,1
176,0,0.6327568068507772,0,1
177,0,0.6466832849344806,0,1
178,0,0.6434772504761703,0,1
179,0,0.6275587017889164,0,1
180,0,0.6557771893134633,0,1
181,0,0.6754497597890181,0,1
182,0,0.6504437315700186,0,1
183,0,0.6459384634807205,0,1
184,0,0.654925429678033,0,1
185,0,0.7224911058899145,0,1
186,0,0.7212702826248155,0,1
187,0,0.6841017102161976,0,1
188,0,0.6696578332507882,0,1
189,0,0.6330544913780005,0,1
190,0,0.6197351328111238,0,1
191,0,0.6241485417081833,0,1
192,0,0.5999543810165779,0,1
193,0,0.6097024929155197,0,1
194,0,0.6565901040527381,0,1
195,0,0.6498522024862228,0,1
196,0,0.6444642617434904,0,1
197,0,0.6672249542360507,0,1
198,0,0.6439264766149998,0,1
199,0,0.6536128843530324,0,1
200,0,0.6475824577539615,0,1
201,0,0.629704219160399,0,1
202,0,0.6564726261134974,0,1
203,0,0.6751918441214061,0,1
204,0,0.6366166251979378,0,1
205,0,0.6217471300463449,0,1
206,0,0.6380980257453829,0,1
207,0,0.6493267457462334,0,1
208,0,0.6570588412145123,0,1
